year,result,round,sets,opponent,bagel,dbagel,count
2021,Won,QF,4,Diego Sebastian Schwartzman,Yes,No,1
2021,Won,R16,3,Jannik Sinner,Yes,No,1
2021,Won,R32,3,Cameron Norrie,No,No,1
2021,Won,R64,3,Richard Gasquet,Yes,No,1
2021,Won,R128,3,Alexei Popyrin,No,No,1
2022,Won,R128,3,Jordan Thompson,No,No,1
2022,Won,R64,3,Corentin Moutet,No,No,1
2022,Won,R32,3,Botic van de Zandschulp,No,No,1
2022,Won,R16,5,Felix Auger-Aliassime,No,No,1
2022,Won,QF,4,Novak Djokovic,No,No,1
2022,Won,SF,2,Alexander Zverev,No,No,1
2022,Won,F,3,Casper Ruud,Yes,No,1
